::ffff:127.0.0.1 - - [24/Sep/2022:11:42:39 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "Python-urllib/3.8"
::1 - - [24/Sep/2022:11:46:29 +0000] "GET /api/v1/users/626a1093c36872e4d55eaff5 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [24/Sep/2022:11:46:40 +0000] "GET /api/v1/users/626a1093c36872e4d55eaff5 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [24/Sep/2022:11:46:45 +0000] "GET /api/v1/users/626a1093c36872e4d55eaff5 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [24/Sep/2022:12:42:46 +0000] "GET /api/v1/webworks?limit=10 HTTP/1.0" 200 792 "http://www.ihelp.mn/" "Mozilla/5.0 (Linux; Android 11; M2003J15SC Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.73 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/373.0.0.31.112;]"
::ffff:127.0.0.1 - - [24/Sep/2022:12:42:46 +0000] "GET /upload/webwork__627e1aa7c36872e4d55f0cbf.jpg HTTP/1.0" 404 183 "http://www.ihelp.mn/" "Mozilla/5.0 (Linux; Android 11; M2003J15SC Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.73 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/373.0.0.31.112;]"
::1 - - [24/Sep/2022:12:50:06 +0000] "GET /api/v1/users/62987e389eaf6f8bd9cd0424 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1397.1 Darwin/22.1.0"
::ffff:127.0.0.1 - - [24/Sep/2022:12:50:06 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1397.1 Darwin/22.1.0"
::ffff:127.0.0.1 - - [24/Sep/2022:12:50:06 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1397.1 Darwin/22.1.0"
::ffff:127.0.0.1 - - [24/Sep/2022:12:50:06 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1397.1 Darwin/22.1.0"
::1 - - [24/Sep/2022:12:50:07 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1397.1 Darwin/22.1.0"
::1 - - [24/Sep/2022:12:50:09 +0000] "GET /api/v1/users/62987e389eaf6f8bd9cd0424 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1397.1 Darwin/22.1.0"
