::1 - - [18/Sep/2022:07:16:58 +0000] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:07:16:58 +0000] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::1 - - [18/Sep/2022:07:16:58 +0000] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:07:16:59 +0000] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::1 - - [18/Sep/2022:07:16:59 +0000] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.0" 404 173 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:07:16:59 +0000] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::1 - - [18/Sep/2022:07:16:59 +0000] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:07:16:59 +0000] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::1 - - [18/Sep/2022:07:17:00 +0000] "GET //sito/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:07:28:19 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [18/Sep/2022:07:30:51 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [18/Sep/2022:07:34:21 +0000] "GET /owa/auth/x.js HTTP/1.0" 404 152 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [18/Sep/2022:07:38:58 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:127.0.0.1 - - [18/Sep/2022:09:03:49 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:09:03:58 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
