::1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::ffff:127.0.0.1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::ffff:127.0.0.1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::ffff:127.0.0.1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::ffff:127.0.0.1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
::ffff:127.0.0.1 - - [01/Jul/2022:04:05:06 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1312 Darwin/21.0.0"
